Account Number,Account Description,Store,StoreID,Cost Centre,Cost Centre Name,FacilityID,Cluster,ClusterID,Department,DepartmentID,Store Facility,Store Facility ID,Reason Code,Reason Description
4-76300-H01-105-2105-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Endocrine,28,San Fernando General Hospital,1,SFGH ENDOCRNI-L,Medicine-Linen Supplies        
4-76400-H01-105-2105-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Endocrine,28,San Fernando General Hospital,1,SFGH ENDOCRIN-H,Medicine-Hardware Supplies     
4-87900-H05-401-0647-00-000,Office Supplies,Stationary Stores,6,H05,Augustus Long Hospital,2,Victoria North,4,Security,100,San Fernando General Hospital,1,CCOTT SECUR-S  ,CCOTT Security -Stationery     
4-76400-H02-301-0451-00-000,Hardware Supplies,Hardware Stores,3,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Engineering,29,Area Hospital Point Fortin,2,AHPF ENGINEER-H,Engineering-Hardware Supplies  
4-75100-H05-301-0451-00-000,Medical Supplies,Medical Stores,5,H05,Augustus Long Hospital,2,Victoria North,4,Engineering,29,San Fernando General Hospital,1,CCOTT ENG - M  ,CCOTT Engineering-Medical      
4-76300-H05-301-0451-00-000,Linen Supplies,Linen Stores,4,H05,Augustus Long Hospital,2,Victoria North,4,Engineering,29,San Fernando General Hospital,1,CCOTT ENG-L    ,CCOTT Engineering-Linen        
4-76400-H05-301-0451-00-000,Hardware Supplies,Hardware Stores,3,H05,Augustus Long Hospital,2,Victoria North,4,Engineering,29,San Fernando General Hospital,1,CCOTT ENG-H    ,CCOTT Engineering- Hardware    
4-87900-H05-209-0401-00-000,Office Supplies,Stationary Stores,6,H05,Augustus Long Hospital,2,Victoria North,4,Social Services,103,San Fernando General Hospital,1,CCOTT MED SO-S ,CCOTT Med Soc Serv-Stationery  
4-76400-D01-301-0451-00-000,Hardware Supplies,Hardware Stores,3,D01,Couva District Health Facility,9,Caroni South,1,Engineering,29,San Fernando General Hospital,1,CDHF ENG-H     ,CDHF Eng- Hardware             
4-87900-H05-304-0526-00-000,Office Supplies,Stationary Stores,6,H05,Augustus Long Hospital,2,Victoria North,4,Stores/Warehousing,106,San Fernando General Hospital,1,CCOTT W/HOUSE-S,CCOTT Warehouse -Stationery    
4-76400-H04-301-0451-00-000,Hardware Supplies,Hardware Stores,3,H04,Point Fortin Hospital,34,St. Patrick West,2,Engineering,29,Area Hospital Point Fortin,2,PFH ENGINEER-H ,PFH Engineer-Hardware          
4-87900-H05-305-0551-00-000,Office Supplies,Stationary Stores,6,H05,Augustus Long Hospital,2,Victoria North,4,Transport,109,San Fernando General Hospital,1,CCOTT TRANSP-S ,CCOTT Transport-Stationery     
4-75100-D02-301-0451-00-000,Medical Supplies,Medical Stores,5,D02,Princes Town District Health Facility,35,Victoria South,5,Engineering,29,Princes Town District Health Facility,3,,
4-76400-D02-301-0451-00-000,Hardware Supplies,Hardware Stores,3,D02,Princes Town District Health Facility,35,Victoria South,5,Engineering,29,Princes Town District Health Facility,3,PTDHF ENGINEE-H,Engineering-Hardware Supplies  
4-81000-H05-103-1052-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Intensive Care Unit,51,San Fernando General Hospital,1,CCOTT ICU-E    ,CCOTT ICU-Engineering          
4-75100-H01-301-0451-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Engineering,29,San Fernando General Hospital,1,SFGH ENGINEER-M,SFGH Engineering-Medical       
4-76300-H01-301-0451-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Engineering,29,San Fernando General Hospital,1,SFGH ENGINEER-L,SFGH Engineering- Linen        
4-76400-H01-301-0451-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Engineering,29,San Fernando General Hospital,1,SFGH ENGINEER-H,Engineering-Hardware Supplies  
4-81000-H05-105-1118-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Medical Ward ALH,67,San Fernando General Hospital,1,CCOTT ONCOL-E  ,CCOTT Oncology-Engineering     
4-75100-H03-301-0451-00-000,Medical Supplies,Medical Stores,5,H03,San Fernando Teaching Hospital,40,Victoria North,4,Engineering,29,San Fernando General Hospital,1,SFTH ENGINEE-M ,SFTH Engineering-Medical       
4-76300-H03-301-0451-00-000,Linen Supplies,Linen Stores,4,H03,San Fernando Teaching Hospital,40,Victoria North,4,Engineering,29,San Fernando General Hospital,1,SFTH ENGINEE-L ,SFTH Engineering-Linen         
4-76400-H03-301-0451-00-000,Hardware Supplies,Hardware Stores,3,H03,San Fernando Teaching Hospital,40,Victoria North,4,Engineering,29,San Fernando General Hospital,1,SFTH ENGINEE-H ,SFTH Engineering- Hardware     
4-81000-H05-202-0226-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Cssd,10,San Fernando General Hospital,1,CCOTT CSSD-E   ,CCOTT CSSD-Engineering         
4-75100-D03-301-0451-00-000,Medical Supplies,Medical Stores,5,D03,Siparia District Health Facility,41,St. Patrick East,3,Engineering,29,Area Hospital Point Fortin,2,SDHF ENGINEER-M,SDHF Engineering -Medical      
4-76400-D03-301-0451-00-000,Hardware Supplies,Hardware Stores,3,D03,Siparia District Health Facility,41,St. Patrick East,3,Engineering,29,Area Hospital Point Fortin,2,SDHF ENGINEER-H,Engineering-Hardware Supplies  
4-81000-H05-203-0251-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Dietetics & Kitchen,25,San Fernando General Hospital,1,CCOTT DI&KIT-E ,CCOTT DI&KIT-Engineering       
4-75100-H01-107-2152-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Eye & Ent Clinic,30,San Fernando General Hospital,1,SFGH ENT CL-M  ,SFGH ENT Clinic-Medical        
4-76300-H01-107-2152-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Eye & Ent Clinic,30,San Fernando General Hospital,1,SFGH ENT CL-L  ,SFGH ENT Clinic-Linen          
4-76400-H01-107-2152-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Eye & Ent Clinic,30,San Fernando General Hospital,1,SFGH ENT CL-H  ,SFGH ENT Clinic-Hardware       
4-81000-H05-205-0301-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Medical Records,66,San Fernando General Hospital,1,CCOTT MED REC-E,CCOTT Med/Records-Engineering  
4-75100-H01-107-2159-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Eye Clinic,31,San Fernando General Hospital,1,SFGH EYE CL-M  ,SFGH Eye Clinic- Medical       
4-76300-H01-107-2159-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Eye Clinic,31,San Fernando General Hospital,1,SFGH EYE CL-L  ,SFGH Eye Clinic- Linen         
4-76400-H01-107-2159-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Eye Clinic,31,San Fernando General Hospital,1,SFGH EYE CL-H  ,SFGH Eye Clinic- Hardware      
4-81000-H05-206-0326-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Pharmacy,86,San Fernando General Hospital,1,CCOTT PHARMA-E ,CCOTT Pharmacy-Engineering     
4-75100-H01-101-2003-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Filter Clinic,32,San Fernando General Hospital,1,SFGH FILT CL-M ,SFGH Filter Clinic- Medical    
4-76300-H01-101-2003-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Filter Clinic,32,San Fernando General Hospital,1,SFGH FILT CLI-L,Ambulatory Care-Linen Supplies 
4-76400-H01-101-2003-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Filter Clinic,32,San Fernando General Hospital,1,SFGH FILT CLI-H,Ambulatory Care-Hardware Sup   
4-81000-H05-208-0376-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Radiology,98,San Fernando General Hospital,1,CCOTT RADIO-E  ,CCOTT Radiology-Engineering    
4-75100-A01-401-0631-00-000,Medical Supplies,Medical Stores,5,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Finance,33,San Fernando General Hospital,1,RAC FINANCE-M  ,RAC Finance - Medical          
4-76400-A01-401-0631-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Finance,33,San Fernando General Hospital,1,RAC FINANCE-H  ,RAC Finance- Hardware          
4-81000-H05-211-0626-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Pssu General (Consolidated),93,San Fernando General Hospital,1,CCOTT PSSU-E   ,CCOTT PSSU- Engineering        
4-75100-A01-401-0658-00-000,Medical Supplies,Medical Stores,5,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Fleet / Transport Department,34,San Fernando General Hospital,1,RAC FLEET-M    ,RAC Fleet- Medical             
4-75100-H02-307-0601-00-000,Medical Supplies,Medical Stores,5,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,AHPF FSSU-M    ,AHPF FSSU - Medical            
4-76400-H02-307-0601-00-000,Hardware Supplies,Hardware Stores,3,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,AHPF FSSU-H    ,AHPF FSSU- Hardware            
4-81000-H05-301-0451-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Engineering,29,San Fernando General Hospital,1,CCOTT ENG-E    ,CCOTT Engineering-Engineer     
4-75100-H05-307-0601-00-000,Medical Supplies,Medical Stores,5,H05,Augustus Long Hospital,2,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,CCOTT FSSU-M   ,CCOTT FSSU-Medical             
4-76300-H05-307-0601-00-000,Linen Supplies,Linen Stores,4,H05,Augustus Long Hospital,2,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,CCOTT FSSU-L   ,CCOTT FSSU- Linen              
4-76400-H05-307-0601-00-000,Hardware Supplies,Hardware Stores,3,H05,Augustus Long Hospital,2,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,CCOTT FSSU-H   ,CCOTT FSSU- Hardware           
4-81000-H05-302-0476-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Housekeeping,48,San Fernando General Hospital,1,CCOTT H/KEEP-E ,CCOTT Housekeeping-Engineering 
4-76400-A04-307-0601-00-000,Hardware Supplies,Hardware Stores,3,A04,CMOH Caroni,6,Caroni South,1,Fssu General (Consolidated),35,San Fernando General Hospital,1,CMOH CARFSSU-H ,CMOH Caroni FSSU- Hardware     
4-75100-D01-307-0601-00-000,Medical Supplies,Medical Stores,5,D01,Couva District Health Facility,9,Caroni South,1,Fssu General (Consolidated),35,San Fernando General Hospital,1,CDHF FSSU-M    ,CDHF FSSU- Medical             
4-76400-D01-307-0601-00-000,Hardware Supplies,Hardware Stores,3,D01,Couva District Health Facility,9,Caroni South,1,Fssu General (Consolidated),35,San Fernando General Hospital,1,CDHF FSSU-H    ,FSSU General-Hardware Supplies 
4-81000-H05-303-0501-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Laundry,56,San Fernando General Hospital,1,CCOTT LAUNDR-E ,CCOTT Laundry- Engineering     
4-75100-H04-307-0601-00-000,Medical Supplies,Medical Stores,5,H04,Point Fortin Hospital,34,St. Patrick West,2,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,PFH FSSU GEN-M ,PFH FSSU GEN-Medical           
4-76400-H04-307-0601-00-000,Hardware Supplies,Hardware Stores,3,H04,Point Fortin Hospital,34,St. Patrick West,2,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,PFH FSSU GEN-H ,PFH FSSU GEN-Hardware          
4-81000-H05-304-0526-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Stores/Warehousing,106,San Fernando General Hospital,1,CCOTT W/HOUSE-E,CCOTT Warehouse -Engineering   
4-76400-D02-307-0601-00-000,Hardware Supplies,Hardware Stores,3,D02,Princes Town District Health Facility,35,Victoria South,5,Fssu General (Consolidated),35,Princes Town District Health Facility,3,PTDHF FSSU-H   ,PTDHF FSSU-Hardware            
4-81000-H05-307-0601-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,CCOTT FSSU-E   ,CCOTT FSSU-Engineering         
4-75100-H01-307-0601-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,SFGH FSSU GEN-M,SFGH FSSU Gen- Medical         
4-76300-H01-307-0601-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,SFGH FSSU GEN-L,SFGH FSSU Gen- Linen           
4-76400-H01-307-0601-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,SFGH FSSU GEN-H,FSSU General-Hardware Supplies 
4-81000-H05-401-0627-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,General Admin,37,San Fernando General Hospital,1,CCOTT G/ADMIN-E,CCOTT Gen Admin-Engineering    
4-75100-H03-307-0601-00-000,Medical Supplies,Medical Stores,5,H03,San Fernando Teaching Hospital,40,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,SFTH FSSU-M    ,SFTH FSSU-Medical              
4-76400-H03-307-0601-00-000,Hardware Supplies,Hardware Stores,3,H03,San Fernando Teaching Hospital,40,Victoria North,4,Fssu General (Consolidated),35,San Fernando General Hospital,1,SFTH FSSU-H    ,SFTH FSSU- Hardware            
4-75100-D03-307-0601-00-000,Medical Supplies,Medical Stores,5,D03,Siparia District Health Facility,41,St. Patrick East,3,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,SDHF FSSU GEN-M,SDHF FSSU Gen-Medical          
4-76300-D03-307-0601-00-000,Linen Supplies,Linen Stores,4,D03,Siparia District Health Facility,41,St. Patrick East,3,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,SDHF FSSU GEN-L,FSSU General-Linen Supplies    
4-76400-D03-307-0601-00-000,Hardware Supplies,Hardware Stores,3,D03,Siparia District Health Facility,41,St. Patrick East,3,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,SDHF FSSU GEN-H,FSSU General-Hardware Supply   
4-81000-H05-105-2109-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Haemodialysis ,44,San Fernando General Hospital,1,CCOTT HAEMO-E  ,CCOTT Haemodialy-Engineering   
4-75100-H01-105-2106-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Gastroenterology,36,San Fernando General Hospital,1,SFGH GASTROEN-M,SFGH Gastroenterol.-Medical    
4-76100-H01-105-2106-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,Gastroenterology,36,San Fernando General Hospital,1,SFGH GASTROEN-F,Medicine-Food Supplies         
4-76300-H01-105-2106-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Gastroenterology,36,San Fernando General Hospital,1,SFGH GASTROEN-L,Medicine-Linen Supplies        
4-76400-H01-105-2106-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Gastroenterology,36,San Fernando General Hospital,1,SFGH GASTROEN-H,Medicine-Hardware Supplies     
4-81000-H05-103-1055-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Critical Care- Palliative Care,20,San Fernando General Hospital,1,CCOTT CRIT CA-E,CCOTT Criti/ Care- Engineering 
4-75100-H02-401-0627-00-000,Medical Supplies,Medical Stores,5,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,AHPF GEN ADM-M ,AHPF Gen Admin - Medical       
4-76100-H02-307-0627-00-000,Food Supplies,Food Stores,2,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,,
4-76100-H02-401-0627-00-000,Food Supplies,Food Stores,2,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,AHPF GEN ADM-F ,General Admin-Food Supplies    
4-76300-H02-401-0627-00-000,Linen Supplies,Linen Stores,4,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,AHPF GEN ADM-L ,General Admin-Linen Supplies   
4-76400-H02-401-0627-00-000,Hardware Supplies,Hardware Stores,3,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,AHPF GEN ADM-H ,General Admin-Hardware Supply  
4-81000-H05-204-0276-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Laboratory,53,San Fernando General Hospital,1,CCOTT LAB-E    ,CCOTT Lab- Engineering         
4-75100-H05-401-0627-00-000,Medical Supplies,Medical Stores,5,H05,Augustus Long Hospital,2,Victoria North,4,General Admin,37,San Fernando General Hospital,1,CCOTT G/ADMIN-M,CCOTT Gen Admin-Medical        
4-76300-H05-401-0627-00-000,Linen Supplies,Linen Stores,4,H05,Augustus Long Hospital,2,Victoria North,4,General Admin,37,San Fernando General Hospital,1,CCOTT G/ADMIN-L,CCOTT Gen Admin- Linen         
4-76400-H05-401-0627-00-000,Hardware Supplies,Hardware Stores,3,H05,Augustus Long Hospital,2,Victoria North,4,General Admin,37,San Fernando General Hospital,1,CCOTT G/ADMIN-H,CCOTT Gen Admin-Hardware       
4-81000-H05-207-0351-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Physiotherapy,90,San Fernando General Hospital,1,CCOTT PHYSIO-E ,CCOTT Physio-Engineering       
4-75100-A04-401-0627-00-000,Medical Supplies,Medical Stores,5,A04,CMOH Caroni,6,Caroni South,1,General Admin,37,San Fernando General Hospital,1,CMOH CARONI-M  ,CMOH Caroni-  Medical          
4-76100-A04-401-0627-00-000,Food Supplies,Food Stores,2,A04,CMOH Caroni,6,Caroni South,1,General Admin,37,San Fernando General Hospital,1,CMOH CARONI-F  ,CMOH Caroni- Food              
4-76400-A04-401-0627-00-000,Hardware Supplies,Hardware Stores,3,A04,CMOH Caroni,6,Caroni South,1,General Admin,37,San Fernando General Hospital,1,CMOH CARONI-H  ,CMOH Caroni- Hardware          
4-81000-H05-209-0401-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Social Services,103,San Fernando General Hospital,1,,
4-75100-A03-401-0627-00-000,Medical Supplies,Medical Stores,5,A03,CMOH St. Patrick,7,St. Patrick East,3,General Admin,37,Area Hospital Point Fortin,2,CMOH ST. PATR-M,CMOH St. Patrick-Medical       
4-76300-A03-401-0627-00-000,Linen Supplies,Linen Stores,4,A03,CMOH St. Patrick,7,St. Patrick East,3,General Admin,37,Area Hospital Point Fortin,2,CMOH ST. PATR-L,CMOH St. Patrick- Linen        
4-76400-A03-401-0627-00-000,Hardware Supplies,Hardware Stores,3,A03,CMOH St. Patrick,7,St. Patrick East,3,General Admin,37,Area Hospital Point Fortin,2,CMOH ST PATR-H ,CMOH St. Patrick-Hardware      
4-81000-H05-305-0551-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Transport,109,San Fernando General Hospital,1,CCOTT TRANSP-E ,CCOTT Transport-Engineering    
4-75100-A02-401-0627-00-000,Medical Supplies,Medical Stores,5,A02,CMOH Victoria,8,Victoria North,4,General Admin,37,San Fernando General Hospital,1,CMOH VIC G/AD-M,CMOH Victoria- Medical         
4-76300-A02-401-0627-00-000,Linen Supplies,Linen Stores,4,A02,CMOH Victoria,8,Victoria North,4,General Admin,37,San Fernando General Hospital,1,CMOH VIC G/AD-L,CMOH Victoria- Linen           
4-76400-A02-401-0627-00-000,Hardware Supplies,Hardware Stores,3,A02,CMOH Victoria,8,Victoria North,4,General Admin,37,San Fernando General Hospital,1,CMOH VIC G/AD-H,General Admin-Hardware Supply  
4-81000-H05-401-0647-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H05,Augustus Long Hospital,2,Victoria North,4,Security,100,San Fernando General Hospital,1,CCOTT SECUR-E  ,CCOTT Security-Engineering     
4-75100-D01-401-0627-00-000,Medical Supplies,Medical Stores,5,D01,Couva District Health Facility,9,Caroni South,1,General Admin,37,San Fernando General Hospital,1,CDHF GEN ADM-M ,CDHF Gen Adm- Medical          
4-76100-D01-401-0627-00-000,Food Supplies,Food Stores,2,D01,Couva District Health Facility,9,Caroni South,1,General Admin,37,San Fernando General Hospital,1,CDHF GEN ADM-F ,General Admin-Food Supplies    
4-76300-D01-401-0627-00-000,Linen Supplies,Linen Stores,4,D01,Couva District Health Facility,9,Caroni South,1,General Admin,37,San Fernando General Hospital,1,CDHF GEN ADM-L ,General Admin-Linen Supplies   
4-76400-D01-401-0627-00-000,Hardware Supplies,Hardware Stores,3,D01,Couva District Health Facility,9,Caroni South,1,General Admin,37,San Fernando General Hospital,1,CDHF GEN ADM-H ,General Admin-Hardware Supply  
4-87900-C01-101-2004-00-000,Office Supplies,Stationary Stores,6,C01,Cedros Health Centre,3,St. Patrick West,2,General Outpatient Clinic,40,Area Hospital Point Fortin,2,,
4-75100-H04-401-0627-00-000,Medical Supplies,Medical Stores,5,H04,Point Fortin Hospital,34,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,PFH GEN ADM-M  ,PFH GEN ADM-Medical            
4-76100-H04-401-0627-00-000,Food Supplies,Food Stores,2,H04,Point Fortin Hospital,34,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,PFH GEN ADM-F  ,PFH GEN ADM-Food               
4-76300-H04-401-0627-00-000,Linen Supplies,Linen Stores,4,H04,Point Fortin Hospital,34,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,PFH GEN ADM-L  ,PFH GEN ADM-Linen              
4-76400-H04-401-0627-00-000,Hardware Supplies,Hardware Stores,3,H04,Point Fortin Hospital,34,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,PFH GEN ADM-H  ,PFH GEN ADM-Hardware           
4-81000-C01-101-2004-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,C01,Cedros Health Centre,3,St. Patrick West,2,General Outpatient Clinic,40,Area Hospital Point Fortin,2,,
4-76300-H04-401-0627-00-00,Linen Supplies,Linen Stores,4,H04,Point Fortin Hospital,34,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,,
4-75100-D02-401-0627-00-000,Medical Supplies,Medical Stores,5,D02,Princes Town District Health Facility,35,Victoria South,5,General Admin,37,Princes Town District Health Facility,3,PTDHF GEN ADM-M,PTDHF Gen Admin- Medical       
4-76300-D02-401-0627-00-000,Linen Supplies,Linen Stores,4,D02,Princes Town District Health Facility,35,Victoria South,5,General Admin,37,Princes Town District Health Facility,3,PTDHF GEN ADM-L,General Admin-Linen Supplies   
4-76400-D02-401-0627-00-000,Hardware Supplies,Hardware Stores,3,D02,Princes Town District Health Facility,35,Victoria South,5,General Admin,37,Princes Town District Health Facility,3,PTDHF GEN ADM-H,General Admin-Hardware Supply  
4-87900-R01-101-2004-00-000,Office Supplies,Stationary Stores,6,R01,Chatham Health Centre,4,St. Patrick West,2,General Outpatient Clinic,40,Area Hospital Point Fortin,2,CHATHAM HC-S   ,Chatham HC- Stationery         
4-75100-A01-401-0627-00-000,Medical Supplies,Medical Stores,5,A01,Regional Administrative Centre,36,Regional Administration Centre,6,General Admin,37,San Fernando General Hospital,1,,
4-76100-A01-401-0627-00-000,Food Supplies,Food Stores,2,A01,Regional Administrative Centre,36,Regional Administration Centre,6,General Admin,37,San Fernando General Hospital,1,,
4-76300-A01-401-0627-00-000,Linen Supplies,Linen Stores,4,A01,Regional Administrative Centre,36,Regional Administration Centre,6,General Admin,37,San Fernando General Hospital,1,,
4-76400-A01-401-0627-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,General Admin,37,San Fernando General Hospital,1,,
4-81000-R01-101-2004-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,R01,Chatham Health Centre,4,St. Patrick West,2,General Outpatient Clinic,40,Area Hospital Point Fortin,2,CHATHAM HC-E   ,Chathan HC- Engineering        
4-75100-H01-401-0627-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,General Admin,37,San Fernando General Hospital,1,SFGH GEN ADM-M ,SFGH Gen Adm- Medical          
4-76100-H01-401-0627-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,General Admin,37,San Fernando General Hospital,1,SFGH GEN ADM-F ,General Admin-Food Supplies    
4-76300-H01-401-0627-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,General Admin,37,San Fernando General Hospital,1,SFGH GEN ADM-L ,General Admin-Linen Supplies   
4-76400-H01-401-0627-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,General Admin,37,San Fernando General Hospital,1,SFGH GEN ADM-H ,General Admin-Hardware Supply  
4-87900-C02-101-2004-00-000,Office Supplies,Stationary Stores,6,C02,Claxton Bay Health Centre,5,Victoria North,4,General Outpatient Clinic,40,San Fernando General Hospital,1,CLAXTONBAY HC-S,Claxton Bay HC- Stationery     
4-75100-H03-401-0627-00-000,Medical Supplies,Medical Stores,5,H03,San Fernando Teaching Hospital,40,Victoria North,4,General Admin,37,San Fernando General Hospital,1,,
4-76100-H03-401-0627-00-000,Food Supplies,Food Stores,2,H03,San Fernando Teaching Hospital,40,Victoria North,4,General Admin,37,San Fernando General Hospital,1,SFTH GEN ADM-F ,General Admin-Food Supplies    
4-76300-H03-401-0627-00-000,Linen Supplies,Linen Stores,4,H03,San Fernando Teaching Hospital,40,Victoria North,4,General Admin,37,San Fernando General Hospital,1,SFTH GEN ADM-L ,General Admin-Linen Supplies   
4-76400-H03-401-0627-00-000,Hardware Supplies,Hardware Stores,3,H03,San Fernando Teaching Hospital,40,Victoria North,4,General Admin,37,San Fernando General Hospital,1,SFTH GEN ADM-H ,General Admin-Hardware Supply  
4-81000-C02-101-2004-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,C02,Claxton Bay Health Centre,5,Victoria North,4,General Outpatient Clinic,40,San Fernando General Hospital,1,,
